dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
calce_full_discharge,5,4,age_linear,13,2281,0.6502782112853123,0.25027025503543165,0.02426092754745528,0.037141500107500655,-0.4000079562498806
calce_full_discharge,5,4,svr_rbf,13,2281,0.29547036718322695,0.12417676044293613,0.040358316478037955,0.04474293858874802,-0.17129360674029082
calce_full_discharge,5,5,age_linear,15,2739,0.7991994540408836,0.678123592416656,0.0185047863341988,0.0202473147509209,-0.12107586162422757
calce_full_discharge,5,5,svr_rbf,15,2739,0.4739309827118693,0.23397271637567219,0.0330443362963799,0.040230292282520425,-0.2399582663361971
calce_full_discharge,5,6,age_linear,13,2020,0.7384874448303793,0.23083208070973948,0.024229245860625737,0.043856102469582124,-0.5076553641206398
calce_full_discharge,5,6,svr_rbf,13,2020,0.42469714285291027,0.03573756200748113,0.03652399209491321,0.04537292202499116,-0.38895958084542914
calce_full_discharge,5,7,age_linear,13,2020,0.6234730893351187,0.1319211351725177,0.022941007374342196,0.047228722247823034,-0.491551954162601
calce_full_discharge,5,7,svr_rbf,13,2020,0.424029049194212,0.04999812952270344,0.03488842524479941,0.04429057267133146,-0.3740309196715086
calce_full_discharge,5,8,age_linear,13,2020,0.6030028794468706,-0.06043897550688082,0.032188959884075434,0.05469271625338727,-0.6634418549537514
calce_full_discharge,5,8,svr_rbf,13,2020,0.5022582702048217,0.07459056674011022,0.03341031106675212,0.04638205950556745,-0.4276677034647115
calce_full_discharge,5,9,age_linear,13,2020,0.6234730893351187,0.1319211351725177,0.022941007374342196,0.047228722247823034,-0.491551954162601
calce_full_discharge,5,9,svr_rbf,13,2020,0.424029049194212,0.04999812952270344,0.03488842524479941,0.04429057267133146,-0.3740309196715086
calce_full_discharge,5,10,age_linear,13,2281,0.7378111698853829,0.24825914622088752,0.023296404810112144,0.037257572615366684,-0.48955202366449535
calce_full_discharge,5,10,svr_rbf,13,2281,0.24187863459376524,0.0845571833943779,0.04051852514145686,0.04666585387306421,-0.15732145119938734
calce_full_discharge,5,11,age_linear,12,1820,0.6520100906265713,0.4476882054465048,0.027492330953441994,0.031513813602734385,-0.20432188518006655
calce_full_discharge,5,11,svr_rbf,12,1820,0.28685893235472965,0.24902984174624898,0.03465297389419131,0.037697947570232176,-0.037829090608480664
