dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
nasa,6,7,svr_rbf,20,1802,0.34214714037040167,-0.6481751942340495,0.07867482150139607,0.14145688891835195,-0.9903223346044512
nasa,6,8,age_linear,22,2064,0.48179671240218996,0.15302726797686156,0.056619419669216006,0.07374248746618639,-0.3287694444253284
nasa,6,8,svr_rbf,22,2064,0.41958162429215146,-0.7354254281250137,0.055785032079045026,0.10391208540189087,-1.1550070524171652
nasa,6,9,age_linear,20,1946,0.44459861702172493,0.1246498223423167,0.11993872516084927,0.17146668721399017,-0.31994879467940823
nasa,6,9,svr_rbf,20,1946,0.7449987127122033,0.3122497714990239,0.068295896146421,0.10274300857999685,-0.4327489412131794
nasa,6,10,age_linear,20,1504,0.164610853734122,-0.0064423719618381114,0.13695654436024288,0.2242758745956086,-0.1710532256959601
nasa,6,10,svr_rbf,20,1504,0.8387129580268244,0.29638170945194015,0.06902368942340205,0.12109402817319985,-0.5423312485748844
nasa,6,11,age_linear,20,1526,0.1346635984262508,-0.018639836021629108,0.06369488415713069,0.0747166191326035,-0.15330343444787992
nasa,6,11,svr_rbf,20,1526,0.03209039574416728,-1.649026502420926,0.07439931388277538,0.15321711326995524,-1.6811168981650932
nasa,7,0,age_linear,23,2165,0.29359827690799256,-0.008583479077053813,0.11394496285595562,0.1867518225038519,-0.3021817559850464
nasa,7,0,svr_rbf,23,2165,0.6960001536311964,-0.2240833211033939,0.06754734811447738,0.19023339188246413,-0.9200834747345903
nasa,7,1,age_linear,24,1990,0.6234406598101805,0.33018251438188995,0.052191810752098666,0.08377928250083916,-0.29325814542829054
nasa,7,1,svr_rbf,24,1990,0.3273725482607566,-1.3271706881822651,0.06880559773219888,0.1524908817280794,-1.6545432364430217
nasa,7,2,age_linear,24,1630,0.29854184594922795,0.027693070627479055,0.06922753085733163,0.07831465054427046,-0.2708487753217489
nasa,7,2,svr_rbf,24,1630,0.07399142826035077,-0.2194199065792013,0.074862238448004,0.14855476510072022,-0.29341133483955206
nasa,7,3,age_linear,23,1689,0.15360630674226683,0.006695698563659258,0.1243884753559866,0.2051589459974585,-0.14691060817860757
nasa,7,3,svr_rbf,23,1689,0.7386787293770644,0.45356060444256563,0.06987516331573436,0.1481119760659121,-0.28511812493449873
nasa,7,4,age_linear,25,1681,0.6485551564115524,0.46214489064976993,0.05604052532394822,0.056850703181106355,-0.18641026576178243
nasa,7,4,svr_rbf,25,1681,0.34107081146004203,0.043338523183283906,0.08306381873221563,0.1381484463576538,-0.29773228827675813
nasa,7,5,age_linear,24,1740,0.3202825830338636,0.04171243046830786,0.10315762598151335,0.19089099645084245,-0.27857015256555573
nasa,7,5,svr_rbf,24,1740,0.7565814705088632,0.3093791032789832,0.06982714291215777,0.1119933893133428,-0.44720236722987994
nasa,7,6,age_linear,23,1805,0.13416409566637888,0.006473572815050566,0.13111017353666488,0.20865878076071243,-0.12769052285132831
nasa,7,6,svr_rbf,23,1805,0.6491883725245275,-0.47928975905541726,0.07418009406780242,0.2071911357996197,-1.1284781315799448
nasa,7,7,age_linear,25,1873,0.6934014536785988,0.3013882520933866,0.0782645233831508,0.09513107256174597,-0.39201320158521225
nasa,7,7,svr_rbf,25,1873,0.7788053237107101,-0.24129394646609303,0.05923710104042126,0.21666737494831861,-1.0200992701768032
nasa,7,8,age_linear,25,1915,0.3724723037252605,0.2729974559469308,0.1072986812967384,0.12036895061278209,-0.09947484777832971
nasa,7,8,svr_rbf,25,1915,0.6680485204114094,-0.47232455350651703,0.06468351735665029,0.16725202083193325,-1.1403730739179263
nasa,7,9,age_linear,25,1873,0.6934014536785988,0.3013882520933866,0.0782645233831508,0.09513107256174597,-0.39201320158521225
nasa,7,9,svr_rbf,25,1873,0.7788053237107101,-0.24129394646609303,0.05923710104042126,0.21666737494831861,-1.0200992701768032
nasa,7,10,age_linear,23,2129,0.2907157915680483,-0.0037820168178506197,0.10944387714132427,0.2030839069863665,-0.2944978083858989
nasa,7,10,svr_rbf,23,2129,0.7362123209110407,0.3793495240797584,0.06746169922267337,0.11948824361774968,-0.3568627968312823
nasa,7,11,age_linear,23,2081,0.28843387789133723,-0.005757426285617706,0.12602631804472011,0.20405968863743765,-0.29419130417695494
nasa,7,11,svr_rbf,23,2081,0.7335213908363682,-0.050575939122387226,0.06632825674380431,0.12106146277376789,-0.7840973299587555
nasa,8,0,age_linear,27,2481,0.39548675346545437,0.18680740696644066,0.08537765442547686,0.1370589407728058,-0.2086793464990137
nasa,8,0,svr_rbf,27,2481,0.6197616230503484,-0.6002885122583741,0.0725254002230361,0.16437535797539285,-1.2200501353087225
nasa,8,1,age_linear,27,1957,0.3274611411054271,0.11726970844521328,0.11572326710156938,0.1658793902737452,-0.21019143266021384
nasa,8,1,svr_rbf,27,1957,0.6410977038666394,-0.005940186883412857,0.07037487813026531,0.16183244320758733,-0.6470378907500522
nasa,8,2,age_linear,29,2543,0.5380116190187378,0.4748092291765269,0.07835532729709709,0.08501469277229118,-0.06320238984221094
nasa,8,2,svr_rbf,29,2543,0.6536878797501262,-0.8148169298961356,0.05512752699980178,0.14497939185625297,-1.4685048096462618
nasa,8,3,age_linear,28,2450,0.5499358311242379,0.4735404945685451,0.07866218805424978,0.08744937385152293,-0.07639533655569286
nasa,8,3,svr_rbf,28,2450,0.6517132424869225,-1.1672377788787454,0.04868481095187546,0.1913095800123104,-1.8189510213656679
nasa,8,4,age_linear,28,2258,0.5182306336348472,0.2003879766085604,0.057927008001694924,0.07279362860447117,-0.31784265702628683
nasa,8,4,svr_rbf,28,2258,0.22259812172141136,-1.0824526628707751,0.07114218124517174,0.15425181061958837,-1.3050507845921864
nasa,8,5,age_linear,28,2008,0.4967319698843824,0.14564855224872025,0.09199627837394814,0.1409241848643799,-0.35108341763566214
nasa,8,5,svr_rbf,28,2008,0.7030519336159289,0.10422683874906158,0.06997144641278641,0.1390997037292265,-0.5988250948668673
nasa,8,6,age_linear,27,2481,0.39548675346545437,0.18680740696644066,0.08537765442547686,0.1370589407728058,-0.2086793464990137
nasa,8,6,svr_rbf,27,2481,0.6197616230503484,-0.6002885122583741,0.0725254002230361,0.16437535797539285,-1.2200501353087225
nasa,8,7,age_linear,29,2543,0.5380116190187378,0.4748092291765269,0.07835532729709709,0.08501469277229118,-0.06320238984221094
nasa,8,7,svr_rbf,29,2543,0.6536878797501262,-0.8148169298961356,0.05512752699980178,0.14497939185625297,-1.4685048096462618
nasa,8,8,age_linear,27,2317,0.4974899921854835,0.20157890117561272,0.1026026708456761,0.14865463615657087,-0.2959110910098708
nasa,8,8,svr_rbf,27,2317,0.7097223434007242,0.27172197288275995,0.0576753921732476,0.14264192783113172,-0.4380003705179642
nasa,8,9,age_linear,28,2008,0.4967319698843824,0.14564855224872025,0.09199627837394814,0.1409241848643799,-0.35108341763566214
nasa,8,9,svr_rbf,28,2008,0.7030519336159289,0.10422683874906158,0.06997144641278641,0.1390997037292265,-0.5988250948668673
nasa,8,10,age_linear,29,2543,0.5380116190187378,0.4748092291765269,0.07835532729709709,0.08501469277229118,-0.06320238984221094
nasa,8,10,svr_rbf,29,2543,0.6536878797501262,-0.8148169298961356,0.05512752699980178,0.14497939185625297,-1.4685048096462618
nasa,8,11,age_linear,27,2233,0.46571076743456563,0.17821337411245036,0.11289599600834575,0.16217030865924342,-0.28749739332211527
nasa,8,11,svr_rbf,27,2233,0.7432585153542144,0.3374171680250303,0.062325781914167204,0.12361696176617995,-0.4058413473291841
nasa,9,0,age_linear,31,2585,0.48264736952005094,0.4062746856198257,0.08539772731639468,0.10709537324721313,-0.07637268390022522
nasa,9,0,svr_rbf,31,2585,0.6509540711697921,0.08743665235038689,0.06907013167149013,0.14287399699765604,-0.5635174188194052
calce,3,0,age_linear,10,2000,0.4893670759501367,0.370213137059921,0.09930326335220058,0.10544205533595674,-0.1191539388902157
calce,3,0,svr_rbf,10,2000,0.9077134477819402,0.11807083660402662,0.04640928817447047,0.1734002422517959,-0.7896426111779136
calce,3,1,age_linear,9,1800,0.01871416524913827,-0.040957841698960884,0.15558726356615668,0.1652002008410118,-0.059672006948099154
calce,3,1,svr_rbf,9,1800,0.7151160305231761,-0.6384005629086997,0.06615864363115255,0.2868321649903016,-1.3535165934318758
calce,3,2,age_linear,7,1400,0.18621674042869818,-0.06803037602288287,0.12800875835863634,0.18996876796002135,-0.25424711645158105
calce,3,2,svr_rbf,7,1400,0.7125093865521126,-2.4301283140807373,0.07749960804885947,0.2673885037559279,-3.14263770063285
calce,3,3,age_linear,8,1600,0.19143848147126113,0.14434303894205947,0.15238267621098928,0.15019774130411379,-0.04709544252920167
calce,3,3,svr_rbf,8,1600,0.8188189435249263,-0.22183070131737193,0.07555326872131406,0.25899960854304654,-1.0406496448422984
calce,3,4,age_linear,8,1600,0.08517951791331568,-0.4614971028215915,0.14097909812137996,0.17784636531331985,-0.5466766207349072
calce,3,4,svr_rbf,8,1600,0.8473800186625968,-1.2653519074013033,0.05722767678964791,0.2525574002626192,-2.1127319260639004
calce,3,5,age_linear,9,1800,0.2597495995300346,-0.0355513204777671,0.1334517103060983,0.14495037966284677,-0.2953009200078017
calce,3,5,svr_rbf,9,1800,0.8734393626825617,-0.1743199719424593,0.050157179032616586,0.25957912822770357,-1.0477593346250211
